WORD,VALIDITY,TYPE,BLOCK,,
नतमस्क,non_word,half,H,,
नष्टा,non_word,half,H,,
नष्ठ,non_word,half,H,,
पत्क,non_word,half,H,,
पत्‍ठर,non_word,half,H,,
पथ्तर,non_word,half,H,,
पल्क,non_word,half,H,,
प्ठन,non_word,half,H,,
प्लक,non_word,half,H,,
फ्वल,non_word,half,H,,
बन्दक,non_word,half,H,,
बन्दहक,non_word,half,H,,
ब्वल,non_word,half,H,,
भक्क,non_word,half,H,,
भश्म,non_word,half,H,,
भष्म,non_word,half,H,,
minutes,word,english,H,,
itself,word,english,H,,
wrong,word,english,H,,
statement,word,english,H,,
following,word,english,H,,
attention,word,english,H,,
story,word,english,H,,
light,word,english,H,,
phone,word,english,H,,
later,word,english,H,,
consider,word,english,H,,
countries,word,english,H,,
machine,word,english,H,,
living,word,english,H,,
resume,word,english,H,,
needed,word,english,H,,
private,word,english,H,,
pages,word,english,H,,
needs,word,english,H,,
sense,word,english,H,,
talking,word,english,H,,
screen,word,english,H,,
rules,word,english,H,,
women,word,english,H,,
medical,word,english,H,,
quickly,word,english,H,,
error,word,english,H,,
articles,word,english,H,,
interface,word,english,H,,
music,word,english,H,,
field,word,english,H,,
blood,word,english,H,,
children,word,english,H,,
effect,word,english,H,,
legal,word,english,H,,
drive,word,english,H,,
increase,word,english,H,,
along,word,english,H,,
systems,word,english,H,,
several,word,english,H,,
indsted,non_word,english,H,,
subjekt,non_word,english,H,,
serwer,non_word,english,H,,
potilical,non_word,english,H,,
coutries,non_word,english,H,,
huose,non_word,english,H,,
repronse,non_word,english,H,,
driwe,non_word,english,H,,
fimal,non_word,english,H,,
anonimus,non_word,english,H,,
secutiry,non_word,english,H,,
sisuation,non_word,english,H,,
referance,non_word,english,H,,
notse,non_word,english,H,,
varieus,non_word,english,H,,
apeears,non_word,english,H,,
trate,non_word,english,H,,
thouh,non_word,english,H,,
macine,non_word,english,H,,
maliing,non_word,english,H,,
komment,non_word,english,H,,
hystums,non_word,english,H,,
exsept,non_word,english,H,,
hawing,non_word,english,H,,
messase,non_word,english,H,,
acount,non_word,english,H,,
bluud,non_word,english,H,,
atention,non_word,english,H,,
milone,non_word,english,H,,
opinyons,non_word,english,H,,
folwing,non_word,english,H,,
perfet,non_word,english,H,,
kelling,non_word,english,H,,
evedence,non_word,english,H,,
makis,non_word,english,H,,
cemidal,non_word,english,H,,
vhite,non_word,english,H,,
macine,non_word,english,H,,
becuase,non_word,english,H,,
knoledge,non_word,english,H,,
adhyapak,word,translit,I,,
antar,word,translit,I,,
apni,word,translit,I,,
asabhya,word,translit,I,,
asatya,word,translit,I,,
atal,word,translit,I,,
bahas,word,translit,I,,
balidan,word,translit,I,,
bharosa,word,translit,I,,
dashak,word,translit,I,,
dawaai,word,translit,I,,
dhanya,word,translit,I,,
mahak,word,translit,I,,
mausam,word,translit,I,,
mitra,word,translit,I,,
nahar,word,translit,I,,
nigam,word,translit,I,,
paani,word,translit,I,,
parivaar,word,translit,I,,
prakriti,word,translit,I,,
prayaas,word,translit,I,,
pyaas,word,translit,I,,
rakshak,word,translit,I,,
roti,word,translit,I,,
sabhya,word,translit,I,,
sahaj,word,translit,I,,
samachar,word,translit,I,,
sambhav,word,translit,I,,
sangeet,word,translit,I,,
sanskar,word,translit,I,,
sapna,word,translit,I,,
saral,word,translit,I,,
shaadi,word,translit,I,,
shahar,word,translit,I,,
shanti,word,translit,I,,
talab,word,translit,I,,
vichaar,word,translit,I,,
vikalp,word,translit,I,,
vikas,word,translit,I,,
vyakti,word,translit,I,,
akidhari,non_word,translit,I,,
anuhab,non_word,translit,I,,
banthak,non_word,translit,I,,
dhyam,non_word,translit,I,,
drishdhi,non_word,translit,I,,
duthi,non_word,translit,I,,
gagah,non_word,translit,I,,
gamar,non_word,translit,I,,
gamri,non_word,translit,I,,
goyak,non_word,translit,I,,
hisarat,non_word,translit,I,,
jigyaan,non_word,translit,I,,
jyaan,non_word,translit,I,,
kharbar,non_word,translit,I,,
khashar,non_word,translit,I,,
kustap,non_word,translit,I,,
majtoobi,non_word,translit,I,,
matad,non_word,translit,I,,
migan,non_word,translit,I,,
muhina,non_word,translit,I,,
nasamte,non_word,translit,I,,
padak,non_word,translit,I,,
pratagi,non_word,translit,I,,
ranjeeti,non_word,translit,I,,
saasish,non_word,translit,I,,
sajham,non_word,translit,I,,
sakrar,non_word,translit,I,,
samapya,non_word,translit,I,,
samhat,non_word,translit,I,,
sandandh,non_word,translit,I,,
sandhaavana,non_word,translit,I,,
sanstriti,non_word,translit,I,,
sanudaay,non_word,translit,I,,
shatki,non_word,translit,I,,
suhidha,non_word,translit,I,,
tatneek,non_word,translit,I,,
thankad,non_word,translit,I,,
upyoj,non_word,translit,I,,
vaakas,non_word,translit,I,,
sandandh,non_word,translit,I,,
ashram  ,word,hinglish_plain,J,,
akshay,word,hinglish_plain,J,,
yagya  ,word,hinglish_plain,J,,
pakadkar,word,hinglish_plain,J,,
charas  ,word,hinglish_plain,J,,
maksad  ,word,hinglish_plain,J,,
gagan  ,word,hinglish_plain,J,,
lakshan,word,hinglish_plain,J,,
halchal,word,hinglish_plain,J,,
shahar,word,hinglish_plain,J,,
jhalak  ,word,hinglish_plain,J,,
jagah  ,word,hinglish_plain,J,,
bachpan  ,word,hinglish_plain,J,,
udhar  ,word,hinglish_plain,J,,
sharad  ,word,hinglish_plain,J,,
chamak,word,hinglish_plain,J,,
safal  ,word,hinglish_plain,J,,
aajtak  ,word,hinglish_plain,J,,
chaman  ,word,hinglish_plain,J,,
akshar  ,word,hinglish_plain,J,,
samajh  ,word,hinglish_plain,J,,
sadak  ,word,hinglish_plain,J,,
samay  ,word,hinglish_plain,J,,
chahal  ,word,hinglish_plain,J,,
paksh  ,word,hinglish_plain,J,,
bhanak  ,word,hinglish_plain,J,,
galat  ,word,hinglish_plain,J,,
namak  ,word,hinglish_plain,J,,
lagbhag,word,hinglish_plain,J,,
kadam  ,word,hinglish_plain,J,,
kasrat  ,word,hinglish_plain,J,,
bahan,word,hinglish_plain,J,,
safar  ,word,hinglish_plain,J,,
khabar  ,word,hinglish_plain,J,,
idhar  ,word,hinglish_plain,J,,
palak  ,word,hinglish_plain,J,,
pavan  ,word,hinglish_plain,J,,
bhajan  ,word,hinglish_plain,J,,
saksham  ,word,hinglish_plain,J,,
bhavan  ,word,hinglish_plain,J,,
chalhal,non_word,hinglish_plain,J,,
tamkat,non_word,hinglish_plain,J,,
lathpad,non_word,hinglish_plain,J,,
gharak,non_word,hinglish_plain,J,,
bakapan,non_word,hinglish_plain,J,,
labhka,non_word,hinglish_plain,J,,
upach,non_word,hinglish_plain,J,,
jalak,non_word,hinglish_plain,J,,
tanbhag,non_word,hinglish_plain,J,,
shatab,non_word,hinglish_plain,J,,
paskh,non_word,hinglish_plain,J,,
fasar,non_word,hinglish_plain,J,,
janhak,non_word,hinglish_plain,J,,
rakash,non_word,hinglish_plain,J,,
hafan,non_word,hinglish_plain,J,,
gatat,non_word,hinglish_plain,J,,
rapam,non_word,hinglish_plain,J,,
labhag,non_word,hinglish_plain,J,,
askhar,non_word,hinglish_plain,J,,
saskham,non_word,hinglish_plain,J,,
bapchan,non_word,hinglish_plain,J,,
tanpav,non_word,hinglish_plain,J,,
lajat,non_word,hinglish_plain,J,,
jahjhan,non_word,hinglish_plain,J,,
sanay,non_word,hinglish_plain,J,,
nagat,non_word,hinglish_plain,J,,
ihar,non_word,hinglish_plain,J,,
nashkhat,non_word,hinglish_plain,J,,
maskad,non_word,hinglish_plain,J,,
anam,non_word,hinglish_plain,J,,
karsat,non_word,hinglish_plain,J,,
harkad,non_word,hinglish_plain,J,,
jamtagh,non_word,hinglish_plain,J,,
pakal,non_word,hinglish_plain,J,,
kamad,non_word,hinglish_plain,J,,
dhabhak,non_word,hinglish_plain,J,,
sahak,non_word,hinglish_plain,J,,
askhay,non_word,hinglish_plain,J,,
kapak,non_word,hinglish_plain,J,,
pakadhar,non_word,hinglish_plain,J,,
woman,word,english,J,,
necessary,word,english,J,,
monitor,word,english,J,,
learn,word,english,J,,
takes,word,english,J,,
green,word,english,J,,
records,word,english,J,,
small,word,english,J,,
mailing,word,english,J,,
world,word,english,J,,
natural,word,english,J,,
history,word,english,J,,
resources,word,english,J,,
party,word,english,J,,
whatever,word,english,J,,
straight,word,english,J,,
south,word,english,J,,
issues,word,english,J,,
comment,word,english,J,,
function,word,english,J,,
between,word,english,J,,
president,word,english,J,,
location,word,english,J,,
digital,word,english,J,,
million,word,english,J,,
sound,word,english,J,,
terms,word,english,J,,
message,word,english,J,,
request,word,english,J,,
numbers,word,english,J,,
maybe,word,english,J,,
different,word,english,J,,
anyone,word,english,J,,
military,word,english,J,,
exactly,word,english,J,,
making,word,english,J,,
watch,word,english,J,,
anyway,word,english,J,,
present,word,english,J,,
friend,word,english,J,,
concider,non_word,english,J,,
increace,non_word,english,J,,
tryine,non_word,english,J,,
erth,non_word,english,J,,
woking,non_word,english,J,,
detales,non_word,english,J,,
prodact,non_word,english,J,,
bildinge,non_word,english,J,,
frond,non_word,english,J,,
prodive,non_word,english,J,,
isue,non_word,english,J,,
aalone,non_word,english,J,,
resune,non_word,english,J,,
mebers,non_word,english,J,,
quesians,non_word,english,J,,
physicel,non_word,english,J,,
umbrela,non_word,english,J,,
chane,non_word,english,J,,
alung,non_word,english,J,,
procces,non_word,english,J,,
errur,non_word,english,J,,
ponit,non_word,english,J,,
lighht,non_word,english,J,,
nobetook,non_word,english,J,,
needded,non_word,english,J,,
suport,non_word,english,J,,
theferore,non_word,english,J,,
quiete,non_word,english,J,,
sience,non_word,english,J,,
neels,non_word,english,J,,
fone,non_word,english,J,,
clieient,non_word,english,J,,
privet,non_word,english,J,,
sduty,non_word,english,J,,
popolar,non_word,english,J,,
amyone,non_word,english,J,,
mentune,non_word,english,J,,
seemes,non_word,english,J,,
avobe,non_word,english,J,,
straigt,non_word,english,J,,
ladki,word,hinglish_matra,K,,
jawaan,word,hinglish_matra,K,,
unka,word,hinglish_matra,K,,
raksha,word,hinglish_matra,K,,
vipaksh,word,hinglish_matra,K,,
dono,word,hinglish_matra,K,,
baarish  ,word,hinglish_matra,K,,
jeewan,word,hinglish_matra,K,,
prabhat,word,hinglish_matra,K,,
prakash,word,hinglish_matra,K,,
sharab,word,hinglish_matra,K,,
sardar,word,hinglish_matra,K,,
insaan,word,hinglish_matra,K,,
dahej,word,hinglish_matra,K,,
bukhaar  ,word,hinglish_matra,K,,
khilaaf,word,hinglish_matra,K,,
navodaya,word,hinglish_matra,K,,
aadmi  ,word,hinglish_matra,K,,
sachiv,word,hinglish_matra,K,,
doosra,word,hinglish_matra,K,,
galti,word,hinglish_matra,K,,
puraana,word,hinglish_matra,K,,
chanchal  ,word,hinglish_matra,K,,
dhaara,word,hinglish_matra,K,,
basant  ,word,hinglish_matra,K,,
adhoori  ,word,hinglish_matra,K,,
manzil,word,hinglish_matra,K,,
badmaash  ,word,hinglish_matra,K,,
videshi,word,hinglish_matra,K,,
ladka,word,hinglish_matra,K,,
uphaar,word,hinglish_matra,K,,
bekaar  ,word,hinglish_matra,K,,
mahaul,word,hinglish_matra,K,,
mahila,word,hinglish_matra,K,,
vivaah,word,hinglish_matra,K,,
mithaai,word,hinglish_matra,K,,
lekin,word,hinglish_matra,K,,
mahenga,word,hinglish_matra,K,,
sambandh,word,hinglish_matra,K,,
naari,word,hinglish_matra,K,,
sadbhag,non_word,hinglish_matra,K,,
kulash,non_word,hinglish_matra,K,,
katrakaar,non_word,hinglish_matra,K,,
kamish,non_word,hinglish_matra,K,,
prakeet,non_word,hinglish_matra,K,,
aatakwaad,non_word,hinglish_matra,K,,
lakita,non_word,hinglish_matra,K,,
saadham,non_word,hinglish_matra,K,,
gamrah,non_word,hinglish_matra,K,,
saadish,non_word,hinglish_matra,K,,
tantriksh,non_word,hinglish_matra,K,,
raskha,non_word,hinglish_matra,K,,
nishtri,non_word,hinglish_matra,K,,
bajdoor,non_word,hinglish_matra,K,,
nahenga,non_word,hinglish_matra,K,,
jatmash,non_word,hinglish_matra,K,,
saajash,non_word,hinglish_matra,K,,
bandham,non_word,hinglish_matra,K,,
mamtra,non_word,hinglish_matra,K,,
gaayuk,non_word,hinglish_matra,K,,
katrika,non_word,hinglish_matra,K,,
kamith,non_word,hinglish_matra,K,,
arsham,non_word,hinglish_matra,K,,
hanshik,non_word,hinglish_matra,K,,
hrudai,non_word,hinglish_matra,K,,
ashkar,non_word,hinglish_matra,K,,
praghash,non_word,hinglish_matra,K,,
chintam,non_word,hinglish_matra,K,,
raskhya,non_word,hinglish_matra,K,,
tanrik,non_word,hinglish_matra,K,,
vimeet,non_word,hinglish_matra,K,,
balbhan,non_word,hinglish_matra,K,,
gatli,non_word,hinglish_matra,K,,
pratrikik,non_word,hinglish_matra,K,,
vitichra,non_word,hinglish_matra,K,,
chindan,non_word,hinglish_matra,K,,
jajah,non_word,hinglish_matra,K,,
sanbamdh,non_word,hinglish_matra,K,,
uljham,non_word,hinglish_matra,K,,
asambham,non_word,hinglish_matra,K,,
except,word,english,K,,
student,word,english,K,,
knowledge,word,english,K,,
contains,word,english,K,,
point,word,english,K,,
auction,word,english,K,,
strong,word,english,K,,
course,word,english,K,,
state,word,english,K,,
create,word,english,K,,
command,word,english,K,,
instead,word,english,K,,
opinions,word,english,K,,
always,word,english,K,,
guess,word,english,K,,
obviously,word,english,K,,
items,word,english,K,,
available,word,english,K,,
shipping,word,english,K,,
called,word,english,K,,
certain,word,english,K,,
contract,word,english,K,,
trade,word,english,K,,
second,word,english,K,,
report,word,english,K,,
white,word,english,K,,
under,word,english,K,,
parts,word,english,K,,
using,word,english,K,,
includes,word,english,K,,
central,word,english,K,,
sources,word,english,K,,
features,word,english,K,,
reality,word,english,K,,
added,word,english,K,,
details,word,english,K,,
whole,word,english,K,,
reference,word,english,K,,
change,word,english,K,,
education,word,english,K,,
skillis,non_word,english,K,,
digetal,non_word,english,K,,
wheter,non_word,english,K,,
brimg,non_word,english,K,,
reciese,non_word,english,K,,
litimed,non_word,english,K,,
interfase,non_word,english,K,,
celtainly,non_word,english,K,,
beccome,non_word,english,K,,
lelal,non_word,english,K,,
laterr,non_word,english,K,,
purhaps,non_word,english,K,,
obsiouly,non_word,english,K,,
genurally,non_word,english,K,,
shigging,non_word,english,K,,
troubal,non_word,english,K,,
availble,non_word,english,K,,
blakc,non_word,english,K,,
slong,non_word,english,K,,
geves,non_word,english,K,,
adress,non_word,english,K,,
pagis,non_word,english,K,,
starded,non_word,english,K,,
coming,non_word,english,K,,
tebbar,non_word,english,K,,
recieved,non_word,english,K,,
undersand,non_word,english,K,,
smille,non_word,english,K,,
exampel,non_word,english,K,,
guass,non_word,english,K,,
luks,non_word,english,K,,
nown,non_word,english,K,,
sens,non_word,english,K,,
sorces,non_word,english,K,,
diferent,non_word,english,K,,
wile,non_word,english,K,,
outcide,non_word,english,K,,
parudy,non_word,english,K,,
naturul,non_word,english,K,,
vursion,non_word,english,K,,
mannat,word,hinglish_half,L,,
utsav,word,hinglish_half,L,,
eklavya,word,hinglish_half,L,,
bacchan,word,hinglish_half,L,,
chakkar,word,hinglish_half,L,,
anant,word,hinglish_half,L,,
dhakkan,word,hinglish_half,L,,
thand,word,hinglish_half,L,,
uttam,word,hinglish_half,L,,
chappal,word,hinglish_half,L,,
shakkar,word,hinglish_half,L,,
pasand,word,hinglish_half,L,,
thappad,word,hinglish_half,L,,
ishq,word,hinglish_half,L,,
sajjan,word,hinglish_half,L,,
bhavya,word,hinglish_half,L,,
lakshya,word,hinglish_half,L,,
rahaysa,word,hinglish_half,L,,
chammach,word,hinglish_half,L,,
chandan,word,hinglish_half,L,,
akhand,word,hinglish_half,L,,
kambal,word,hinglish_half,L,,
andar,word,hinglish_half,L,,
khattar,word,hinglish_half,L,,
bhakt,word,hinglish_half,L,,
sambhav,word,hinglish_half,L,,
aatma,word,hinglish_half,L,,
tanmay,word,hinglish_half,L,,
shashtra,word,hinglish_half,L,,
shabd,word,hinglish_half,L,,
jannat,word,hinglish_half,L,,
uttar,word,hinglish_half,L,,
aarambh,word,hinglish_half,L,,
bandhan,word,hinglish_half,L,,
ujjwal,word,hinglish_half,L,,
satya,word,hinglish_half,L,,
asambhav,word,hinglish_half,L,,
madhya,word,hinglish_half,L,,
lashkar,word,hinglish_half,L,,
mandal,word,hinglish_half,L,,
matammat,non_word,hinglish_half,L,,
yavaska,non_word,hinglish_half,L,,
padmaash,non_word,hinglish_half,L,,
daptar,non_word,hinglish_half,L,,
uttur,non_word,hinglish_half,L,,
panka,non_word,hinglish_half,L,,
nashka,non_word,hinglish_half,L,,
dakkad,non_word,hinglish_half,L,,
satvish,non_word,hinglish_half,L,,
alva,non_word,hinglish_half,L,,
tamnay,non_word,hinglish_half,L,,
shadb,non_word,hinglish_half,L,,
karsat,non_word,hinglish_half,L,,
ucchar,non_word,hinglish_half,L,,
gututva,non_word,hinglish_half,L,,
hadhyam,non_word,hinglish_half,L,,
rastrik,non_word,hinglish_half,L,,
shakkala,non_word,hinglish_half,L,,
ujjala,non_word,hinglish_half,L,,
ustav,non_word,hinglish_half,L,,
vashtrik,non_word,hinglish_half,L,,
bauthik,non_word,hinglish_half,L,,
lashkman,non_word,hinglish_half,L,,
ratma,non_word,hinglish_half,L,,
vikapsh,non_word,hinglish_half,L,,
pyahi,non_word,hinglish_half,L,,
lashkya,non_word,hinglish_half,L,,
gamri,non_word,hinglish_half,L,,
bhuktik,non_word,hinglish_half,L,,
prashim,non_word,hinglish_half,L,,
ujjat,non_word,hinglish_half,L,,
khifaal,non_word,hinglish_half,L,,
jyoshit,non_word,hinglish_half,L,,
vrashti,non_word,hinglish_half,L,,
gantak,non_word,hinglish_half,L,,
ummat,non_word,hinglish_half,L,,
haskat,non_word,hinglish_half,L,,
vakta,non_word,hinglish_half,L,,
katsha,non_word,hinglish_half,L,,
ujjhal,non_word,hinglish_half,L,,
manager,word,english,L,,
model,word,english,L,,
looks,word,english,L,,
process,word,english,L,,
known,word,english,L,,
starting,word,english,L,,
break,word,english,L,,
family,word,english,L,,
drivers,word,english,L,,
program,word,english,L,,
great,word,english,L,,
anonymous,word,english,L,,
night,word,english,L,,
subject,word,english,L,,
helps,word,english,L,,
otherwise,word,english,L,,
start,word,english,L,,
coming,word,english,L,,
words,word,english,L,,
brain,word,english,L,,
alone,word,english,L,,
lines,word,english,L,,
final,word,english,L,,
version,word,english,L,,
attempt,word,english,L,,
situation,word,english,L,,
movie,word,english,L,,
advance,word,english,L,,
certainly,word,english,L,,
gives,word,english,L,,
product,word,english,L,,
willing,word,english,L,,
science,word,english,L,,
technical,word,english,L,,
found,word,english,L,,
because,word,english,L,,
selling,word,english,L,,
center,word,english,L,,
ideas,word,english,L,,
limited,word,english,L,,
atricraft,non_word,english,L,,
beelow,non_word,english,L,,
ceenter,non_word,english,L,,
drivors,non_word,english,L,,
colus,non_word,english,L,,
functune,non_word,english,L,,
trutth,non_word,english,L,,
contanes,non_word,english,L,,
shuld,non_word,english,L,,
neans,non_word,english,L,,
femily,non_word,english,L,,
deficult,non_word,english,L,,
naybe,non_word,english,L,,
wonan,non_word,english,L,,
vhatevar,non_word,english,L,,
grait,non_word,english,L,,
spik,non_word,english,L,,
hellps,non_word,english,L,,
ucing,non_word,english,L,,
likelie,non_word,english,L,,
canot,non_word,english,L,,
stert,non_word,english,L,,
tecnical,non_word,english,L,,
dowbt,non_word,english,L,,
prezent,non_word,english,L,,
wiling,non_word,english,L,,
advanze,non_word,english,L,,
diferent,non_word,english,L,,
issures,non_word,english,L,,
moddel,non_word,english,L,,
mitilar,non_word,english,L,,
avrage,non_word,english,L,,
decieded,non_word,english,L,,
neseccary,non_word,english,L,,
vvhite,non_word,english,L,,
matterial,non_word,english,L,,
localion,non_word,english,L,,
wemen,non_word,english,L,,
sertain,non_word,english,L,,
yong,non_word,english,L,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
